body,fichatecnica,localidad,price,title,url
"
Motor toyota 2.0 dieselTren delantero, frenos, amortiguadores nuevosPanel solar 150w2 bateriasFrigobar 12vSillon camaCocina con hornoButaca giratoriaTecho elevable2 tanques de agua bajo chasis 40lts cada unoInodoro quimicoDucha desmontable
","

Año
1994


Kilómetros
120.000 km


Marca
Volkswagen


Modelo
Kombi


Versión
2.0


Tipo de combustible
Diésel


Puertas
2





","





El vehículo está en Las Piedras - Canelones
",12.500,"
		Volkswagen Kombi 2.0
	",https://auto.mercadolibre.com.uy/MLU-471731189-volkswagen-kombi-20-_JM#position=36&type=item&tracking_id=18d5715b-927b-4148-b3ba-b5141093aa87
"
Motor disel 2.5 liso,caja de 4ta, tiene deuda, detalles de chapa, roto el cardan, puedo permutar por algún cuatriciclo 200 cc o mínimo 125 o se va por partes, motor completo, caja y diferencial.
","

Año
1982


Kilómetros
111.111 km


Marca
Peugeot


Modelo
505


Versión
motor 2.5 disel


Tipo de combustible
Diésel


Puertas
4





","





El vehículo está en Colonia Valdense - Colonia
",1.111.111,"
		Peugeot 505 Motor 2.5 Disel
	",https://auto.mercadolibre.com.uy/MLU-471319691-peugeot-505-motor-25-disel-_JM#position=10&type=item&tracking_id=18d5715b-927b-4148-b3ba-b5141093aa87
"
Al día, libreta y titulos a mi nombre.2.0 turbo diésel intercooler4x4 en perfecto funcionamiento Sistema de inyección tradicionalAire acondicionado Vidrios y espejos eléctricos Dirección hidráulica Interior bien Radio con dvd, pantalla en el techoTren delantero, parrillas, homosinetica y amoriguadores nuevos Cubiertas khumo con 10mil kilómetros Precio contado y negociableConsulte, no molesta
","

Año
1998


Kilómetros
500.000 km


Marca
Suzuki


Modelo
Grand Vitara


Versión
4x4 extra full


Tipo de combustible
Diésel


Puertas
5





","





El vehículo está en Ciudad Del Plata - San José
",9.800,"
		Suzuki Grand Vitara Turbo Intercooler
	",https://auto.mercadolibre.com.uy/MLU-472250483-suzuki-grand-vitara-turbo-intercooler-_JM#position=42&type=item&tracking_id=18d5715b-927b-4148-b3ba-b5141093aa87
"
Ford Ranger XLT modelo full 2007A/C , Vidrios Eléctricos , Espejos retrovisores Eléctricos Al día, patente paga todo el 2020Motor 2.8 turbo diésel 4x2 12km por litro. Posible permuta por camioneta cabina simple. Consulte
","

Año
2007


Kilómetros
226.000 km


Marca
Ford


Modelo
Ranger


Versión
2.8 Cd Xls 4x2


Tipo de carrocería
Pick-Up


Motor
2.8


Potencia
132 hp


Transmisión
Manual


Tipo de combustible
Diésel


Puertas
2





","





El vehículo está en José Pedro Varela - Lavalleja
",13.400,"
		Ford Ranger 2.8 Cd Xls 4x2
	",https://auto.mercadolibre.com.uy/MLU-472715565-ford-ranger-28-cd-xls-4x2-2007-_JM#position=31&type=item&tracking_id=18d5715b-927b-4148-b3ba-b5141093aa87
"
Esta divina como en las fotos la vendo x no usarla todo al dia ami nombre motor izuzu con idraulica con caja de quinta posible permuta x camioneta mas chica o toyota o nissan no mariadores yamar interesados
","

Año
1955


Kilómetros
11.111 km


Marca
Ford


Modelo
F-100


Versión
F 100


Tipo de combustible
Diésel


Puertas
3





","





El vehículo está en Villa Rodriguez - San José
",13.000,"
		Ford F-100 F 100
	",https://auto.mercadolibre.com.uy/MLU-471709443-ford-f-100-f-100-_JM#position=15&type=item&tracking_id=18d5715b-927b-4148-b3ba-b5141093aa87
"
Se vende carroceria y motor para repuesto. Llamar.
","

Año
1987


Kilómetros
100.000 km


Marca
Volkswagen


Modelo
Santana


Versión
Sedan


Tipo de combustible
Diésel


Puertas
4





","





El vehículo está en Montevideo
",1.001,"
		Volkswagen Santana Sedan
	",https://auto.mercadolibre.com.uy/MLU-471693632-volkswagen-santana-sedan-_JM#position=35&type=item&tracking_id=18d5715b-927b-4148-b3ba-b5141093aa87
"
Espectacular auto en inmejorables condiciones tiene caja de 6ta motor turbodiesel con intercooler Multijet 1.6.Solo 80000 kilómetros de fabrica, a toda prueba sin detalles de ningun tipo.Patente contado 17000Seguro contra 3ero hurto incendio 11500. Distribución y embrague a nuevo nada para hacer.Traido de EuropaTodos los repuestos de carrocería se encuentran en plaza ya que hay versión nafta en plaza y en Brasil. Se puede financiar hasta el 100% por banco hasta 60 cuotas. Cualquier consulta a las órdenes!
","

Año
2012


Kilómetros
80.000 km


Marca
Fiat


Modelo
Línea


Versión
Línea 2012


Transmisión
Manual


Tipo de combustible
Diésel


Puertas
4





","





El vehículo está en El Pinar - Canelones
",15.500,"
		Fiat Línea Línea 2012
	",https://auto.mercadolibre.com.uy/MLU-472590235-fiat-linea-linea-2012-_JM#position=14&type=item&tracking_id=18d5715b-927b-4148-b3ba-b5141093aa87
"
Vendo camioneta indio .motor Izusu .1.8 diesel y caja de 5 .ambas cosas están para colocar.estan afuera de la camioneta ...vendo por el precio publicado por necesidad..de efectivo.tengo libreta y el dueño anterior los títulos y es ubicable .debe deber patente la compré haci para un proyecto y ahora por motivo de precisar dinero la vendo ..
","

Año
1984


Kilómetros
125.000 km


Marca
Indio


Modelo
Indio


Versión
Camioneta


Tipo de combustible
Diésel


Puertas
3





","





El vehículo está en Chuy - Rocha
",22.000,"
		Indio . Indio Camioneta
	",https://auto.mercadolibre.com.uy/MLU-472093872-indio-indio-camioneta-_JM#position=39&type=item&tracking_id=18d5715b-927b-4148-b3ba-b5141093aa87
"
Vendo no permuta a la mejor oferta, con deuda ,
","

Año
1993


Kilómetros
1.111 km


Marca
Nissan


Modelo
Sunny


Versión
Sedan


Tipo de combustible
Diésel


Puertas
4





","





El vehículo está en Ciudad Del Plata - San José
",35.000,"
		Nissan Sunny Sedan
	",https://auto.mercadolibre.com.uy/MLU-471932326-nissan-sunny-sedan-_JM#position=28&type=item&tracking_id=18d5715b-927b-4148-b3ba-b5141093aa87
"
Mercedes en inmejorable estado para el año que es, tiene todo, le anda todo, muy bien cuidado escucho ofertas.
","

Año
1996


Kilómetros
450.000 km


Marca
Mercedes-Benz


Modelo
E 300 D TURBO


Versión
Sedan 4 Puertas


Tipo de carrocería
Sedán


Motor
3.5


Transmisión
Automática


Color
Gris


Tipo de combustible
Diésel


Puertas
4





","





El vehículo está en Lezica - Montevideo
",14.500,"
		Mercedes Benz E 300 D Turbo
	",https://auto.mercadolibre.com.uy/MLU-472259144-mercedes-benz-e-300-d-turbo-_JM#position=26&type=item&tracking_id=18d5715b-927b-4148-b3ba-b5141093aa87
